1,0.81,0.81
2,0.71,0.62
3,0.77,0.88
4,0.74,0.67
5,0.77,0.86
6,0.78,0.88
7,0.86,1.29
8,0.91,1.32
9,0.93,1.07
10,1.00,1.65
11,1.07,1.75
12,1.16,2.08
13,1.24,2.31
14,1.32,2.24
15,1.45,3.27
16,1.55,3.15
17,1.71,4.17
18,1.84,4.07
19,2.00,4.88
20,2.09,3.74
21,2.28,6.27
22,2.46,6.17
23,2.59,5.41
24,2.82,8.07
25,3.02,7.97
26,3.22,8.00
27,3.40,8.23
28,3.63,9.67
29,3.83,9.71
30,4.09,11.59
31,4.29,10.12
32,4.50,11.10
33,4.77,13.28
34,5.07,15.00
35,5.33,14.09
36,5.60,15.35
37,5.89,16.04
38,6.18,17.12
39,6.43,15.71
40,6.71,17.60
41,6.97,17.76
42,7.25,18.44
43,7.52,18.89
44,7.75,17.48
45,8.02,19.96
46,8.25,18.81
47,8.53,21.11
48,8.75,19.41
49,8.99,20.61
50,9.22,20.41
51,9.50,23.16
52,9.72,21.22
53,9.97,22.97
54,10.25,24.81
55,10.50,24.40
56,10.75,24.58
57,11.00,24.48
58,11.24,25.13
59,11.46,24.36
60,11.68,24.75
61,11.92,26.17
62,12.15,26.02
63,12.38,27.05
64,12.62,27.29
65,12.83,26.46
66,13.09,29.72
67,13.32,28.83
68,13.55,28.95
69,13.78,29.52
70,14.02,30.37
71,14.24,30.04
72,14.49,31.77
73,14.72,31.10
74,14.93,30.75
75,15.16,31.96
76,15.41,33.87
77,15.63,32.63
78,15.86,33.43
79,16.10,34.97
80,16.34,35.18
81,16.57,35.32
82,16.81,35.76
83,17.03,35.51
84,17.26,36.01
85,17.48,35.96
86,17.69,36.05
87,17.92,37.23
88,18.12,36.09
89,18.34,36.89
90,18.54,36.33
91,18.72,35.73
92,18.92,36.94
93,19.11,36.36
94,19.30,37.32
95,19.48,36.19
96,19.66,36.43
97,19.84,36.84
98,20.01,36.80
99,20.18,36.99
100,20.35,36.75
101,20.71,37.36
102,21.08,37.25
103,21.45,37.79
104,21.82,37.60
105,22.19,37.86
106,22.55,37.61
107,22.92,38.12
108,23.28,36.88
109,23.64,37.20
110,24.00,37.42
111,24.35,37.36
112,24.71,37.61
113,25.06,37.64
114,25.41,37.32
115,25.75,37.27
116,26.10,37.50
117,26.43,37.26
118,26.76,37.10
119,27.08,37.33
120,27.41,37.11
121,27.72,36.99
122,28.03,36.95
123,28.34,36.60
124,28.62,36.35
125,28.91,36.13
126,29.18,35.69
127,29.46,35.75
128,29.72,35.74
129,29.96,34.19
130,30.20,35.62
